User ID,Ethnicity,Gender,Education,Party,Topic,In Support,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
200002646,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0.458,0.2131,0.4372,0.4981,0.2687,0.3221,0.3132,0.2573,0.2463,0.4981,0.3221
200002992,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.3038,0.2211,0.2267,0.3082,0.3694,0.2988,0.2627,0.0047,0.2535,0.3082,0.3694
200003234,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.381,0.1721,0.394,0.4947,0.3046,0.4003,0.3715,0.1203,0.3027,0.4947,0.4003
200003281,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.4239,0.1487,0.3012,0.5011,0.28,0.3282,0.5241,0.2435,0.3435,0.5011,0.5241
200003354,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.4994,0.3011,0.4803,0.6875,0.3718,0.5171,0.3816,0.1927,0.3921,0.6875,0.5171
200003437,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0.3424,0.3033,0.3049,0.3341,0.3214,0.417,0.4019,0.0745,0.2449,0.3341,0.417
200003457,White,Man,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.4572,0.3869,0.4024,0.475,0.4484,0.6121,0.5415,0.1688,0.3444,0.475,0.6121
200003706,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.0894,0.0806,0.1849,0.153,0.0759,0.1106,0.0622,0.0952,0.1163,0.1849,0.1163
200003903,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.2765,0.554,0.3122,0.2825,0.4535,0.3198,0.2821,0.2361,0.2916,0.554,0.4535
200003958,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.3097,0.1322,0.2564,0.334,0.166,0.2287,0.174,0.1606,0.1698,0.334,0.2287
200003995,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.3109,0.2633,0.4194,0.4705,0.3205,0.4064,0.2859,0.1473,0.2665,0.4705,0.4064
200004043,All Other,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.4696,0.1063,0.5784,0.3737,0.345,0.4992,0.5468,0.1602,0.433,0.5784,0.5468
200004048,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.2929,0.4163,0.2968,0.3689,0.3028,0.3275,0.2364,0.1757,0.2646,0.4163,0.3275
200004220,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.2379,0.2331,0.2521,0.5212,0.2377,0.3002,0.2232,0.1808,0.2771,0.5212,0.3002
200004283,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.0002,0.0992,-0.0477,0.0205,0.0173,-0.0649,0.0062,-0.0776,0.0561,0.0992,0.0561
200004417,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.3145,0.4614,0.3173,0.3353,0.4007,0.3451,0.2862,0.3059,0.3105,0.4614,0.4007
200004532,All Other,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0.393,0.2487,0.353,0.489,0.2745,0.3723,0.3784,0.2743,0.3047,0.489,0.3784
200004664,White,Man,Some College,D,Increasing size of House of Representatives,FALSE,0.4028,0.1601,0.4883,0.451,0.2985,0.5369,0.3784,0.1564,0.3043,0.4883,0.5369
200004665,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0.0251,0.0324,0.0799,0.0553,0.0636,0.039,0.0384,0.1663,0.0688,0.0799,0.1663
200004796,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.5045,0.3653,0.4622,0.5325,0.4591,0.5017,0.3621,0.2069,0.3829,0.5325,0.5017
200004819,White,Man,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.188,0.1304,0.2273,0.243,0.1654,0.1676,0.0723,0.1635,0.1843,0.243,0.1843
200004877,Black,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.1213,0.0702,0.1306,0.216,0.0268,0.1332,0.0613,0.3225,0.0648,0.216,0.3225
200004919,White,Man,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.2258,0.286,0.2305,0.2336,0.2866,0.2397,0.1644,0.1106,0.1746,0.286,0.2866
200004925,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.6181,0.1981,0.6003,0.7046,0.4079,0.5391,0.5518,0.1922,0.4699,0.7046,0.5518
200004929,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0.0229,0.1097,0.0388,-0.0553,0.0043,-0.0041,-0.028,0.1592,0.0026,0.1097,0.1592
200005084,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.3271,0.425,0.2985,0.3717,0.4205,0.3463,0.1726,0.3126,0.279,0.425,0.4205
200005127,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.4749,0.3494,0.3545,0.5129,0.3891,0.4217,0.3704,0.132,0.3639,0.5129,0.4217
200005270,Asian,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.4833,0.2682,0.4538,0.4731,0.3073,0.337,0.3297,0.2445,0.3081,0.4731,0.337
200005608,All Other,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.0917,0.0257,0.1178,0.0872,0.0721,0.0745,0.1328,0.1777,0.1141,0.1178,0.1777
200005961,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.3777,0.1404,0.314,0.327,0.2756,0.3973,0.4124,0.1778,0.3802,0.327,0.4124
200005987,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.3282,0.2488,0.2563,0.334,0.3107,0.3855,0.3484,0.1984,0.3767,0.334,0.3855
200005994,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.2249,0.3778,0.2116,0.2665,0.2668,0.215,0.1169,0.1033,0.1823,0.3778,0.2668
200005995,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.5606,0.2056,0.4889,0.6213,0.387,0.4805,0.553,0.2371,0.4382,0.6213,0.553
200006069,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.3899,0.2528,0.3659,0.5114,0.3097,0.3725,0.396,0.1951,0.352,0.5114,0.396
