User ID,Ethnicity,Gender,Education,Party,Topic,In Support,favor,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
200004043,All Other,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.2495,0.287,0.3726,0.2277,0.0967,0.454,0.4347,0.3647,0.3187,0.3726,0.454
200004048,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.29,0.2464,0.4967,0.2234,0.3913,0.3357,0.4073,0.2672,0.2659,0.4967,0.4073
200004220,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.2999,0.1685,0.3326,0.3946,0.323,0.3379,0.4228,0.2033,0.2997,0.3946,0.4228
200004283,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.0384,-0.0359,0.1885,0.0385,0.2245,-0.0902,0.0106,-0.0306,-0.0587,0.1885,0.2245
200004417,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3955,0.3395,0.5402,0.3182,0.4258,0.3346,0.357,0.2693,0.2038,0.5402,0.4258
200004532,All Other,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.3181,0.2212,0.5351,0.4204,0.2897,0.373,0.5034,0.2972,0.4599,0.5351,0.5034
200004664,White,Man,Some College,D,Increasing size of House of Representatives,FALSE,0,0.3182,0.2583,0.4877,0.3039,0.1863,0.4123,0.5727,0.3511,0.3443,0.4877,0.5727
200004665,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.0583,0.098,0.0447,0.0569,0.0322,0.0965,0.0862,0.0529,0.0787,0.098,0.0965
200004796,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.4225,0.3211,0.6393,0.3806,0.4424,0.4373,0.5703,0.3745,0.3566,0.6393,0.5703
200004819,White,Man,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.1118,0.3283,0.3125,-0.005,0.1973,0.2095,0.366,0.1206,0.219,0.3283,0.366
200004877,Black,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.1457,0.1524,0.0605,0.2692,0.017,0.1697,0.2087,0.0635,0.2423,0.2692,0.2423
200004919,White,Man,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.2468,0.3669,0.2735,0.154,0.2478,0.2021,0.2385,0.218,0.0732,0.3669,0.2478
200004925,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.4774,0.3925,0.5948,0.5102,0.2688,0.5452,0.6075,0.526,0.3984,0.5948,0.6075
200004929,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0,0.0529,0.1136,0.078,-0.0577,0.0238,0.0476,0.0412,0.002,0.082,0.1136,0.082
200005084,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.4005,0.3048,0.4253,0.2807,0.5152,0.3436,0.4225,0.2306,0.2824,0.4253,0.5152
200005127,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3962,0.2728,0.5376,0.3808,0.3841,0.3426,0.4005,0.3345,0.3208,0.5376,0.4005
200005270,Asian,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.3497,0.2267,0.5538,0.2967,0.3129,0.3198,0.6021,0.279,0.4615,0.5538,0.6021
200005608,All Other,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.1193,0.0914,0.1422,0.1074,0.0532,-0.0172,0.1714,0.0775,0.1076,0.1422,0.1714
200005961,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.2933,0.2264,0.2548,0.4234,0.0959,0.3064,0.2851,0.3447,0.2482,0.4234,0.3447
200005987,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.3234,0.1688,0.2988,0.3837,0.1981,0.2162,0.2657,0.4033,0.1553,0.3837,0.4033
200005994,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.2577,0.2745,0.5163,0.0179,0.4387,0.1327,0.3374,0.157,0.0868,0.5163,0.4387
200005995,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.4541,0.2912,0.4063,0.5518,0.2799,0.4835,0.4842,0.5282,0.3905,0.5518,0.5282
200006069,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.352,0.2094,0.4222,0.3918,0.2201,0.3667,0.438,0.3883,0.3712,0.4222,0.438
200006110,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.1748,0.2114,0.1407,0.1763,0.1559,0.2855,0.0965,0.2058,0.0947,0.2114,0.2855
200006161,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2117,0.2861,0.2151,0.1757,0.2123,0.1908,0.3275,0.1846,0.1906,0.2861,0.3275
300000014,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.5895,0.5167,0.6114,0.3561,0.3176,0.4879,0.5277,0.5329,0.3868,0.6114,0.5329
300000018,All Other,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.033,0.0872,0.2772,-0.0144,0.3066,0.0271,0.1848,0.0954,0.0672,0.2772,0.3066
300000049,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.1003,0.2511,0.1607,0.2873,0.1347,0.4689,0.2488,0.1642,0.2274,0.2873,0.4689
300000052,White,Woman,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.3261,0.3643,0.3354,0.2852,0.2531,0.425,0.3224,0.3326,0.2136,0.3643,0.425
300000088,White,Man,HS or Less,D,Increasing size of House of Representatives,FALSE,0,0.3881,0.289,0.3553,0.3914,0.2023,0.3432,0.5471,0.3654,0.4399,0.3914,0.5471
300000098,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.3675,0.2574,0.5094,0.3198,0.3037,0.3399,0.4432,0.374,0.3548,0.5094,0.4432
300000120,Hispanic,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0,0.0336,0.093,0.1698,-0.0782,0.1282,-0.0408,-0.0357,-0.0465,-0.0987,0.1698,0.1282
300000159,Black,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.3106,0.3095,0.3453,0.367,0.2378,0.4027,0.3052,0.3341,0.2871,0.367,0.4027
300000219,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.3165,0.3124,0.4513,0.2901,0.3531,0.4415,0.3102,0.2305,0.3648,0.4513,0.4415
300000243,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.5686,0.6701,0.4198,0.3484,0.2255,0.4675,0.4605,0.6507,0.4094,0.6701,0.6507
300000262,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.341,0.199,0.2711,0.4821,0.1574,0.3406,0.2471,0.4334,0.2353,0.4821,0.4334
300000263,White,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.2269,0.1863,0.2849,0.2343,0.1472,0.1256,0.2211,0.1585,0.1378,0.2849,0.2211
300000264,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.3091,0.3313,0.467,0.2934,0.2496,0.406,0.4111,0.3015,0.2273,0.467,0.4111
300000276,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.4399,0.3739,0.4504,0.3329,0.3075,0.4952,0.3957,0.4139,0.3562,0.4504,0.4952
300000277,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.2111,0.1566,0.1464,0.3423,0.0632,0.2184,0.1558,0.2175,0.1597,0.3423,0.2184
300000280,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.4447,0.3858,0.4433,0.3951,0.3012,0.3867,0.4567,0.4102,0.3199,0.4433,0.4567
300000283,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.5711,0.4374,0.5253,0.4572,0.3256,0.5244,0.4923,0.5047,0.5024,0.5253,0.5244
300000284,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.1313,0.2379,0.1963,0.0855,0.1508,0.1275,0.2635,0.1413,0.1185,0.2379,0.2635
300000291,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.3695,0.2552,0.3009,0.3663,0.1118,0.3219,0.231,0.2816,0.237,0.3663,0.3219
300000325,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2327,0.3032,0.2376,0.1637,0.2082,0.1836,0.3375,0.1898,0.1909,0.3032,0.3375
300000344,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.2266,0.2868,0.3498,0.3199,0.3581,0.2765,0.1383,0.1481,0.0706,0.3498,0.3581
300000370,White,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.4133,0.3594,0.4653,0.3944,0.3756,0.4716,0.3759,0.3795,0.3568,0.4653,0.4716
300000376,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2312,0.2173,0.5223,0.2192,0.4672,0.228,0.2894,0.257,0.1277,0.5223,0.4672
300000394,All Other,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.3936,0.2837,0.3529,0.3644,0.3118,0.3105,0.2951,0.3725,0.2122,0.3644,0.3725
300000403,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1407,0.143,0.2351,0.1143,0.0905,0.1893,0.1693,0.0785,0.2143,0.2351,0.2143
300000421,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1015,0.1149,0.0521,0.0308,-0.0258,0.0412,0.0506,0.0282,0.0579,0.1149,0.0579
300000423,Hispanic,Man,Some College,D,Increasing size of House of Representatives,FALSE,0,0.3965,0.2823,0.527,0.48,0.3726,0.4278,0.4355,0.3611,0.3032,0.527,0.4355
300000472,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.01,-0.0056,-0.0749,0.1212,-0.0284,0.0537,-0.0775,-0.0757,-0.0042,0.1212,0.0537
300000552,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.1959,0.3188,0.3667,0.2399,0.169,0.4135,0.4089,0.3335,0.2862,0.3667,0.4135
300000619,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.4461,0.5514,0.1706,0.1658,0.0993,0.2424,0.1316,0.5244,0.09,0.5514,0.5244
300000673,White,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0,0.2283,0.2382,0.2459,0.193,0.2005,0.269,0.3006,0.2628,0.1713,0.2459,0.3006
300000678,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.2665,0.2618,0.4333,0.2358,0.3017,0.2865,0.2993,0.2342,0.2082,0.4333,0.3017
300000692,White,Woman,HS or Less,I,Increasing size of House of Representatives,FALSE,0,0.3515,0.3029,0.5527,0.3705,0.1831,0.458,0.6377,0.3828,0.4362,0.5527,0.6377
300000737,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0,0.2732,0.2309,0.4566,0.1646,0.4453,0.156,0.2928,0.1499,0.1013,0.4566,0.4453
300000747,All Other,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0,-0.046,0.0302,-0.0555,0.1243,0.0195,0.0554,0.0679,0.0193,0.0169,0.1243,0.0679
300000782,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.2664,0.2515,0.156,0.28,0.168,0.3287,0.2125,0.2946,0.182,0.28,0.3287
300000823,White,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0,0.4502,0.3393,0.4464,0.4203,0.3473,0.3779,0.4078,0.4698,0.3354,0.4464,0.4698
300000854,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.3431,0.4683,0.3176,0.2197,0.2843,0.4735,0.2832,0.3424,0.203,0.4683,0.4735
